E24A	Unfavorite2Legacy
E25A	MobileContactLegacy
E25B	BlockedLegacy
E25C	TypingIndicatorLegacy
E25D	PresenceChickletVideoLegacy
E25E	PresenceChickletLegacy
E26B	ChevronRightSmLegacy
E26C	ChevronLeftSmLegacy
E28F	SaveAsLegacy
E290	DecreaseIndentLegacy
E291	IncreaseIndentLegacy
E292	BulletedListLegacy
E294	ScanLegacy
E295	PreviewLegacy
E297	DecreaseIndentLegacyMirrored
E298	IncreaseIndentLegacyMirrored
E299	BulletedListLegacyMirrored
E29B	PlayOnLegacy
E2AC	ResolutionLegacy
E2AD	LengthLegacy
E2AE	LayoutLegacy
E2AF	Contact3Legacy
E2B0	TypeLegacy
E2B1	ColorLegacy
E2B2	SizeLegacy
E2B3	ReturnToWindowLegacy
E2B4	OpenInNewWindowLegacy
E2F6	PrintLegacy
E2F7	Printer3DLegacy
E700	GlobalNavButton
E701	Wifi
E702	Bluetooth
E703	Connect
E704	InternetSharing
E705	VPN
E706	Brightness
E707	MapPin
E708	QuietHours
E709	Airplane
E70A	Tablet
E70B	QuickNote
E70C	RememberedDevice
E70D	ChevronDown
E70E	ChevronUp
E70F	Edit
E710	Add
E711	Cancel
E712	More
E713	Settings
E714	Video
E715	Mail
E716	People
E717	Phone
E718	Pin
E719	Shop
E71A	Stop
E71B	Link
E71C	Filter
E71D	AllApps
E71E	Zoom
E71F	ZoomOut
E720	Microphone
E721	Search
E722	Camera
E723	Attach
E724	Send
E725	SendFill
E726	WalkSolid
E727	InPrivate
E728	FavoriteList
E729	PageSolid
E72A	Forward
E72B	Back
E72C	Refresh
E72D	Share
E72E	Lock
E730	ReportHacked
E734	FavoriteStar
E735	FavoriteStarFill
E738	Remove
E739	Checkbox
E73A	CheckboxComposite
E73B	CheckboxFill
E73C	CheckboxIndeterminate
E73D	CheckboxCompositeReversed
E73E	CheckMark
E73F	BackToWindow
E740	FullScreen
E741	ResizeTouchLarger
E742	ResizeTouchSmaller
E743	ResizeMouseSmall
E744	ResizeMouseMedium
E745	ResizeMouseWide
E746	ResizeMouseTall
E747	ResizeMouseLarge
E748	SwitchUser
E749	Print
E74A	Up
E74B	Down
E74C	OEM
E74D	Delete
E74E	Save
E74F	Mute
E750	BackSpaceQWERTY
E751	ReturnKey
E752	UpArrowShiftKey
E753	Cloud
E754	Flashlight
E755	RotationLock
E756	CommandPrompt
E759	SIPMove
E75A	SIPUndock
E75B	SIPRedock
E75C	EraseTool
E75D	UnderscoreSpace
E75E	GripperTool
E75F	Dialpad
E760	PageLeft
E761	PageRight
E762	MultiSelect
E763	KeyboardLeftHanded
E764	KeyboardRightHanded
E765	KeyboardClassic
E766	KeyboardSplit
E767	Volume
E768	Play
E769	Pause
E76B	ChevronLeft
E76C	ChevronRight
E76D	InkingTool
E76E	Emoji2
E76F	GripperBarHorizontal
E770	System
E771	Personalize
E772	Devices
E773	SearchAndApps
E774	Globe
E775	TimeLanguage
E776	EaseOfAccess
E777	UpdateRestore
E778	HangUp
E779	ContactInfo
E77A	Unpin
E77B	Contact
E77C	Memo
E77F	Paste
E780	PhoneBook
E781	LEDLight
E783	Error
E784	GripperBarVertical
E785	Unlock
E786	Slideshow
E787	Calendar
E788	GripperResize
E789	Megaphone
E78A	Trim
E78B	NewWindow
E78C	SaveLocal
E790	Color
E791	DataSense
E792	SaveAs
E793	Light
E799	AspectRatio
E7A5	DataSenseBar
E7A6	Redo
E7A7	Undo
E7A8	Crop
E7AC	OpenWith
E7AD	Rotate
E7B5	SetlockScreen
E7B7	MapPin2
E7B8	Package
E7BA	Warning
E7BC	ReadingList
E7BE	Education
E7BF	ShoppingCart
E7C0	Train
E7C1	Flag
E7C3	Page
E7C4	Multitask
E7C5	BrowsePhotos
E7C6	HalfStarLeft
E7C7	HalfStarRight
E7C8	Record
E7C9	TouchPointer
E7DE	LangJPN
E7E3	Ferry
E7E6	Highlight
E7E7	ActionCenterNotification
E7E8	PowerButton
E7EA	ResizeTouchNarrower
E7EB	ResizeTouchShorter
E7EC	DrivingMode
E7ED	RingerSilent
E7EE	OtherUser
E7EF	Admin
E7F0	CC
E7F1	SDCard
E7F2	CallForwarding
E7F3	SettingsDisplaySound
E7F4	TVMonitor
E7F5	Speakers
E7F6	Headphone
E7F7	DeviceLaptopPic
E7F8	DeviceLaptopNoPic
E7F9	DeviceMonitorRightPic
E7FA	DeviceMonitorLeftPic
E7FB	DeviceMonitorNoPic
E7FC	Game
E7FD	HorizontalTabKey
E802	StreetsideSplitMinimize
E803	StreetsideSplitExpand
E804	Car
E805	Walk
E806	Bus
E809	TiltUp
E80A	TiltDown
E80C	RotateMapRight
E80D	RotateMapLeft
E80F	Home
